filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,pop,n,fasttime,naivetime,bhvtime
simphyout/pop_6_n_20_1.newick,4,31,20,0,19,19,6,20,63,62,8741
simphyout/pop_6_n_20_1.newick,4,32,20,0,19,19,6,20,62,62,7435
simphyout/pop_6_n_20_1.newick,4,33,20,0,19,19,6,20,62,62,7481
simphyout/pop_6_n_20_1.newick,4,34,20,0,19,19,6,20,62,60,7535
simphyout/pop_6_n_20_1.newick,4,35,20,0,19,19,6,20,67,63,7834
simphyout/pop_6_n_20_1.newick,4,36,20,0,19,19,6,20,62,61,8066
simphyout/pop_6_n_20_1.newick,4,37,20,0,19,19,6,20,62,62,7802
simphyout/pop_6_n_20_1.newick,4,38,20,0,19,19,6,20,63,63,7151
simphyout/pop_6_n_20_1.newick,4,39,20,0,19,19,6,20,62,59,6941
simphyout/pop_6_n_20_1.newick,4,40,20,0,19,19,6,20,63,60,7495
simphyout/pop_6_n_20_1.newick,4,41,20,0,19,19,6,20,62,59,9886
simphyout/pop_6_n_20_1.newick,4,42,20,0,19,19,6,20,61,58,7324
simphyout/pop_6_n_20_1.newick,4,43,20,0,19,19,6,20,61,58,6802
simphyout/pop_6_n_20_1.newick,4,44,20,0,19,19,6,20,63,58,7279
simphyout/pop_6_n_20_1.newick,4,45,20,0,19,19,6,20,61,60,7684
simphyout/pop_6_n_20_1.newick,4,46,20,0,19,19,6,20,62,61,7603
simphyout/pop_6_n_20_1.newick,4,47,20,0,19,19,6,20,61,63,8167
simphyout/pop_6_n_20_1.newick,4,48,20,0,19,19,6,20,62,60,6817
simphyout/pop_6_n_20_1.newick,4,49,20,0,19,19,6,20,62,59,6868
simphyout/pop_6_n_20_1.newick,5,6,20,0,19,19,6,20,92,64,7217
simphyout/pop_6_n_20_1.newick,5,7,20,0,19,19,6,20,71,63,7405
simphyout/pop_6_n_20_1.newick,5,8,20,0,19,19,6,20,67,61,8455
simphyout/pop_6_n_20_1.newick,5,9,20,0,19,19,6,20,64,58,7404
simphyout/pop_6_n_20_1.newick,5,10,20,0,19,19,6,20,63,61,6729
simphyout/pop_6_n_20_1.newick,5,11,20,0,19,19,6,20,68,60,7971
simphyout/pop_6_n_20_1.newick,5,12,20,0,19,19,6,20,63,60,7430
simphyout/pop_6_n_20_1.newick,5,13,20,0,19,19,6,20,63,62,8443
simphyout/pop_6_n_20_1.newick,5,14,20,0,19,19,6,20,63,59,7158
simphyout/pop_6_n_20_1.newick,5,15,20,0,19,19,6,20,63,61,7143
simphyout/pop_6_n_20_1.newick,5,16,20,0,19,19,6,20,63,63,7382
simphyout/pop_6_n_20_1.newick,5,17,20,0,19,19,6,20,63,58,7240
simphyout/pop_6_n_20_1.newick,5,18,20,0,19,19,6,20,63,58,10877
simphyout/pop_6_n_20_1.newick,5,19,20,0,19,19,6,20,62,62,7420
simphyout/pop_6_n_20_1.newick,5,20,20,0,19,19,6,20,73,62,6876
simphyout/pop_6_n_20_1.newick,5,21,20,0,19,19,6,20,62,61,6465
simphyout/pop_6_n_20_1.newick,5,22,20,0,19,19,6,20,62,58,7228
simphyout/pop_6_n_20_1.newick,5,23,20,0,19,19,6,20,63,63,7514
simphyout/pop_6_n_20_1.newick,5,24,20,0,19,19,6,20,62,59,8597
simphyout/pop_6_n_20_1.newick,5,25,20,0,19,19,6,20,61,59,7138
simphyout/pop_6_n_20_1.newick,5,26,20,0,19,19,6,20,63,60,6857
simphyout/pop_6_n_20_1.newick,5,27,20,0,19,19,6,20,62,60,7674
simphyout/pop_6_n_20_1.newick,5,28,20,0,19,19,6,20,63,60,7382
simphyout/pop_6_n_20_1.newick,5,29,20,0,19,19,6,20,61,60,11298
simphyout/pop_6_n_20_1.newick,5,30,20,0,19,19,6,20,63,62,7686
simphyout/pop_6_n_20_1.newick,5,31,20,0,19,19,6,20,63,59,6970
simphyout/pop_6_n_20_1.newick,5,32,20,0,19,19,6,20,63,60,7143
simphyout/pop_6_n_20_1.newick,5,33,20,0,19,19,6,20,62,58,7518
simphyout/pop_6_n_20_1.newick,5,34,20,0,19,19,6,20,62,60,10189
simphyout/pop_6_n_20_1.newick,5,35,20,0,19,19,6,20,63,61,7232
simphyout/pop_6_n_20_1.newick,5,36,20,0,19,19,6,20,62,60,7084
simphyout/pop_6_n_20_1.newick,5,37,20,0,19,19,6,20,63,59,6729
simphyout/pop_6_n_20_1.newick,5,38,20,0,19,19,6,20,63,59,7592
simphyout/pop_6_n_20_1.newick,5,39,20,0,19,19,6,20,63,61,7857
simphyout/pop_6_n_20_1.newick,5,40,20,0,19,19,6,20,64,61,7789
simphyout/pop_6_n_20_1.newick,5,41,20,0,19,19,6,20,67,59,6869
simphyout/pop_6_n_20_1.newick,5,42,20,0,19,19,6,20,62,59,6799
simphyout/pop_6_n_20_1.newick,5,43,20,0,19,19,6,20,62,65,7041
simphyout/pop_6_n_20_1.newick,5,44,20,0,19,19,6,20,64,60,7455
simphyout/pop_6_n_20_1.newick,5,45,20,0,19,19,6,20,62,60,8840
simphyout/pop_6_n_20_1.newick,5,46,20,0,19,19,6,20,62,61,7604
simphyout/pop_6_n_20_1.newick,5,47,20,0,19,19,6,20,62,59,7122
simphyout/pop_6_n_20_1.newick,5,48,20,0,19,19,6,20,62,57,7391
