filename,tree1,tree2,time,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,algo,pop,n
simphyout/pop_6_n_20_1.newick,6,33,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,34,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,35,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,36,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,37,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,38,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,39,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,40,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,41,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,42,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,43,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,44,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,45,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,46,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,47,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,48,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,49,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,8,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,9,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,10,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,11,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,12,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,13,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,14,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,15,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,16,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,17,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,18,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,19,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,20,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,21,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,22,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,23,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,24,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,25,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,26,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,27,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,7,28,64,20,0,19,19,fast,6,20
