filename,i,j,incidence_time,total_time
simphyout\pop_8_n_1000_1.newick,34,38,37859870,38218362
simphyout\pop_8_n_1000_1.newick,34,39,37362924,37714537
simphyout\pop_8_n_1000_1.newick,34,40,39679849,40028413
simphyout\pop_8_n_1000_1.newick,34,41,38384077,38716117
simphyout\pop_8_n_1000_1.newick,34,42,35793471,36144443
simphyout\pop_8_n_1000_1.newick,34,43,37030401,37382413
simphyout\pop_8_n_1000_1.newick,34,44,39145940,39460825
simphyout\pop_8_n_1000_1.newick,34,45,37483339,37845408
simphyout\pop_8_n_1000_1.newick,34,46,34649248,34990908
simphyout\pop_8_n_1000_1.newick,34,47,39499889,39842565
